"BehaviorSpace results (NetLogo 6.1.1)"
"Dancing Game - Original.nlogo"
"experiment"
"05/06/2021 21:09:26:704 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","9","0","9"
"[run number]","swap?","initial-burgandy","memory_size","type-players?","wipe?","learning?","memory_learning?","weighted_learning?","initial-light-blue","mutation_rate","leader-payoff","leader-follower-game?","gendered_learning?","gendered_pairing?","initial-orange","[step]","global-average-payoff","count turtles with [strategy = 0 and sex = 0]","count turtles with [strategy = 1 and sex = 0]","count turtles with [strategy = 2 and sex = 0]","count turtles with [strategy = 3 and sex = 0]","count turtles with [strategy = 0 and sex = 1]","count turtles with [strategy = 1 and sex = 1]","count turtles with [strategy = 2 and sex = 1]","count turtles with [strategy = 3 and sex = 1]"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","117","0.7299270072992701","15","2","0","33","3","16","0","31"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","118","0.7199280071992801","13","4","0","33","2","17","0","31"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","119","0.64993500649935","15","3","0","32","3","16","0","31"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","120","0.6899310068993101","15","3","0","32","3","18","0","29"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","121","0.6999300069993001","15","3","0","32","3","18","0","29"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","122","0.54994500549945","15","2","0","33","4","18","0","28"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","123","0.7199280071992801","15","7","0","28","4","18","0","28"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","124","0.53994600539946","16","7","0","27","6","17","0","27"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","125","0.54994500549945","20","5","0","25","5","15","0","30"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","126","0.66993300669933","24","1","0","25","9","16","0","25"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","127","0.62993700629937","23","1","0","26","9","17","0","24"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","128","0.65993400659934","21","2","0","27","9","16","0","25"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","129","0.7099290070992901","21","2","0","27","3","14","0","33"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","130","0.6999300069993001","21","3","0","26","2","19","0","29"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","131","0.64993500649935","19","4","0","27","4","23","0","23"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","132","0.7299270072992701","20","2","0","28","2","27","0","21"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","133","0.7399260073992601","22","4","0","24","2","28","0","20"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","134","0.6799320067993201","20","4","0","26","11","23","0","16"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","135","0.6799320067993201","18","3","0","29","10","22","0","18"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","136","0.55994400559944","17","7","0","26","9","25","0","16"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","137","0.6899310068993101","22","8","0","20","7","25","0","18"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","138","0.61993800619938","20","9","0","21","10","17","0","23"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","139","0.53994600539946","20","9","0","21","5","19","0","26"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","140","0.65993400659934","20","5","0","25","5","18","0","27"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","141","0.65993400659934","20","5","0","25","7","18","0","25"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","142","0.5999400059994","21","6","0","23","9","12","0","29"
